,datetime,code,price,quantity,info,value
0,2018-04-20 12:08:00,26Apr201825200CE,83.45,-25,First trade,2086.25
1,2018-04-20 12:08:00,26Apr201825200PE,327.0,-25,First trade,8175.0
2,2018-04-20 15:15:00,26Apr201825200CE,81.75,25,End of Day reached,-2043.75
3,2018-04-20 15:15:00,26Apr201825200PE,297.8,25,End of day reached,-7445.0
4,2018-04-23 09:16:00,26Apr201825100CE,108.35,-25,First trade,2708.75
5,2018-04-23 09:16:00,26Apr201825100PE,214.4,-25,First trade,5360.0
6,2018-04-23 09:17:00,26Apr201825100CE,87.75,25,stoploss breached,-2193.75
7,2018-04-23 09:17:00,26Apr201825100PE,272.85,25,stoploss breached,-6821.250000000001
8,2018-04-26 09:16:00,26Apr201824900CE,22.75,-25,First trade,568.75
9,2018-04-26 09:16:00,26Apr201824900PE,152.45,-25,First trade,3811.2499999999995
10,2018-04-26 11:55:00,26Apr201824900CE,14.0,25,stoploss breached,-350.0
11,2018-04-26 11:55:00,26Apr201824900PE,129.45,25,stoploss breached,-3236.2499999999995
12,2018-04-27 09:16:00,03May201825100CE,153.3,-25,First trade,3832.5000000000005
13,2018-04-27 09:16:00,03May201825100PE,171.6,-25,First trade,4290.0
14,2018-04-27 09:56:00,03May201825100CE,276.0,25,stoploss breached,-6900.0
15,2018-04-27 09:56:00,03May201825100PE,82.35,25,stoploss breached,-2058.75
16,2018-05-02 09:16:00,03May201825700CE,61.0,-25,First trade,1525.0
17,2018-05-02 09:16:00,03May201825700PE,135.0,-25,First trade,3375.0
18,2018-05-02 14:49:00,03May201825700CE,20.6,25,stoploss breached,-515.0
19,2018-05-02 14:49:00,03May201825700PE,176.6,25,stoploss breached,-4415.0
20,2018-05-03 09:16:00,03May201825600CE,30.0,-25,First trade,750.0
21,2018-05-03 09:16:00,03May201825600PE,97.05,-25,First trade,2426.25
22,2018-05-03 15:15:00,03May201825600CE,4.3,25,End of Day reached,-107.5
23,2018-05-03 15:15:00,03May201825600PE,3.2,25,End of day reached,-80.0
24,2018-05-04 09:16:00,10May201825700CE,121.05,-25,First trade,3026.25
25,2018-05-04 09:16:00,10May201825700PE,202.75,-25,First trade,5068.75
26,2018-05-04 15:15:00,10May201825700CE,125.7,25,End of Day reached,-3142.5
27,2018-05-04 15:15:00,10May201825700PE,173.4,25,End of day reached,-4335.0
28,2018-05-07 09:16:00,10May201825700CE,177.0,-25,First trade,4425.0
29,2018-05-07 09:16:00,10May201825700PE,109.5,-25,First trade,2737.5
30,2018-05-07 15:15:00,10May201825700CE,185.75,25,End of Day reached,-4643.75
31,2018-05-07 15:15:00,10May201825700PE,89.0,25,End of day reached,-2225.0
32,2018-05-09 09:17:00,10May201826000CE,72.0,-25,First trade,1800.0
33,2018-05-09 09:17:00,10May201826000PE,121.5,-25,First trade,3037.5
34,2018-05-09 14:32:00,10May201826000CE,170.9,25,stoploss breached,-4272.5
35,2018-05-09 14:32:00,10May201826000PE,25.0,25,stoploss breached,-625.0
36,2018-05-11 09:16:00,17May201826200CE,225.2,-25,First trade,5630.0
37,2018-05-11 09:16:00,17May201826200PE,277.8,-25,First trade,6945.0
38,2018-05-11 15:15:00,17May201826200CE,333.85,25,End of Day reached,-8346.25
39,2018-05-11 15:15:00,17May201826200PE,181.0,25,End of day reached,-4525.0
40,2018-05-14 09:16:00,17May201826500CE,164.65,-25,First trade,4116.25
41,2018-05-14 09:16:00,17May201826500PE,278.3,-25,First trade,6957.5
42,2018-05-14 15:15:00,17May201826500CE,202.3,25,End of Day reached,-5057.5
43,2018-05-14 15:15:00,17May201826500PE,245.3,25,End of day reached,-6132.5
44,2018-05-15 09:16:00,17May201826500CE,151.75,-25,First trade,3793.75
45,2018-05-15 09:16:00,17May201826500PE,229.4,-25,First trade,5735.0
46,2018-05-15 10:10:00,17May201826500CE,395.6,25,stoploss breached,-9890.0
47,2018-05-15 10:10:00,17May201826500PE,41.05,25,stoploss breached,-1026.25
48,2018-05-17 09:16:00,17May201826300CE,32.4,-25,First trade,810.0
49,2018-05-17 09:16:00,17May201826300PE,99.0,-25,First trade,2475.0
50,2018-05-17 10:02:00,17May201826300CE,23.4,25,stoploss breached,-585.0
51,2018-05-17 10:02:00,17May201826300PE,95.0,25,stoploss breached,-2375.0
52,2018-05-18 09:16:00,24May201826100CE,143.25,-25,First trade,3581.25
53,2018-05-18 09:16:00,24May201826100PE,239.0,-25,First trade,5975.0
54,2018-05-18 13:17:00,24May201826100CE,86.0,25,stoploss breached,-2150.0
55,2018-05-18 13:17:00,24May201826100PE,338.7,25,stoploss breached,-8467.5
56,2018-05-21 09:16:00,24May201826100CE,101.65,-25,First trade,2541.25
